
length	num
9	4
8	7
16	1
8	5
8	2
10	1
12	4
19	5
8	5
17	1
10	1
12	2
8	8
9	2
8	2
9	7
15	2
11	1
7	4
8	1
18	1
8	7
20	1
8	3
10	1
7	6
10	1
9	1
8	1
8	3
8	1
15	1
8	1
8	4
9	1
9	3
8	2
11	2
9	4
8	6
8	2
8	4
8	8
7	2
17	1
8	3
9	2
8	1
8	6
9	4
8	1
9	2
9	4
11	1
7	3
10	1
7	9
7	13
13	1
8	2
10	1
9	2
8	4
9	3
13	1
8	2
12	1
8	2
12	1
8	6
11	1
9	5
11	1
9	1
10	2
8	2
9	1
17	5
8	3
10	1
8	1
8	8
10	1
9	2
11	1
7	5
8	4
7	3
8	1
9	2
9	3
8	1
9	5
11	1
11	1
8	3
9	1
10	1
8	2
7	7
11	1
9	1
8	4
10	4
9	1
8	1
8	3
8	6
9	6
10	1
7	5
8	1
8	5
8	2
8	5
8	1
9	8
11	1
8	1
9	3
9	5
11	1
8	1
8	4
9	1
8	1
8	3
26	2
7	10
7	4
10	1
8	1
8	1
17	5
8	3
8	1
8	3
9	1
9	8
8	2
8	5
9	1
7	26
9	4
9	1
8	2
9	2
8	7
8	1
8	1
9	1
8	7
8	1
9	1
9	6
8	2
9	2
8	4
15	2
27	2
10	2
8	2
8	1
8	5
8	1
8	2
14	1
7	3
9	5
8	1
8	3
11	4
7	3
11	1
8	4
7	5
10	1
7	8
8	8
8	7
8	1
10	1
8	8
10	1
8	1
13	1
10	2
17	1
8	4
9	1
7	28
7	5
8	6
8	1
9	1
9	1
9	4
14	7
12	1
8	1
16	7
8	1
8	1
9	4
9	1
9	3
7	2
8	1
15	2
8	4
8	4
8	4
7	6
7	6
7	5
10	1
7	7
8	1
9	4
8	6
8	7
10	2
8	4
8	3
8	2
7	4
7	2
8	1
7	6
7	7
9	1
9	3
8	4
13	1
8	2
10	2
10	1
9	1
17	1
10	1
9	2
8	20
10	1
8	2
9	4
9	1
9	2
9	1
9	5
8	2
9	9
8	6
8	1
9	1
10	2
8	2
8	1
10	1
10	2
8	5
8	6
10	2
8	5
10	1
12	3
9	2
9	8
8	3
8	1
9	3
9	1
8	1
7	14
9	4
11	1
8	8
8	5
13	1
9	1
8	8
9	1
8	3
9	1
8	4
8	6
8	1
8	1
7	6
26	2
9	1
7	3
7	4
9	4
8	2
16	5
8	4
9	2
9	3
8	1
8	1
9	4
8	7
8	4
9	2
10	1
8	1
9	1
8	1
9	3
7	4
9	8
14	5
8	1
9	3
12	6
8	1
8	1
7	5
9	2
8	5
8	4
13	2
13	1
8	3
7	15
9	1
8	2
7	5
8	2
12	1
8	3
8	4
10	2
7	2
11	1
8	5
7	6
7	1
8	7
8	2
10	1
9	5
9	2
8	3
9	1
7	3
21	7
9	1
9	1
7	3
9	5
8	1
8	1
9	2
8	1
9	1
8	2
9	3
15	3
